CTYNAME,year,drugOverdose,population,drugOverdoseRate,GrowthRate,Naloxone,NaloxoneRate,suicides,suicideRate
Lawrence,2020,0,58855,0.0,-5.7174,321.0,5.454082066094639,0.0,0.0
Licking,2020,454,179254,2.532718935142312,7.5277,335.0,1.86885648297946,34.0,0.18967498633224364
Logan,2020,107,46352,2.308422506040732,1.3314,86.0,1.8553676216775976,10.0,0.21574042112530203
Lorain,2020,985,311395,3.163185022238636,3.2895,1335.0,4.287159395622923,52.0,0.16699047833137975
Lucas,2020,1889,425820,4.436146728664694,-3.5371,4587.0,10.77215724954206,81.0,0.19022122023390164
Madison,2020,171,45415,3.765275789937245,4.5609,161.0,3.5450842232742485,0.0,0.0
Mahoning,2020,1051,227617,4.6174055540667,-4.5155,871.0,3.82660346107716,41.0,0.18012714340317287
Marion,2020,388,64425,6.022506790842065,-3.0591,343.0,5.324020178502135,18.0,0.27939464493597205
Medina,2020,334,181282,1.8424333359075915,5.0855,148.0,0.8164075859710286,31.0,0.17100429165609382
Meigs,2020,76,22593,3.3638737662107734,-4.7954,76.0,3.363873766210773,0.0,0.0
Mercer,2020,51,41612,1.225607997692973,2.0202,64.0,1.5380178794578483,0.0,0.0
Miami,2020,207,108877,1.9012279912194496,6.2349,235.0,2.1583989272298094,12.0,0.11021611543301157
Monroe,2020,19,13388,1.4191813564386018,-8.3579,9.0,0.672243800418285,0.0,0.0
Montgomery,2020,2401,531861,4.514337392664625,-0.6975,4127.0,7.759546197220702,94.0,0.17673790708474582
Morgan,2020,39,14362,2.71549923408996,-4.4699,20.0,1.392563709789723,0.0,0.0
Morrow,2020,122,35758,3.411823927512724,2.7824,92.0,2.572850830583366,0.0,0.0
Muskingum,2020,259,86383,2.998275123577556,0.196,365.0,4.2253684173969415,17.0,0.1967979810842411
Noble,2020,40,14578,2.7438606118809163,-0.5593,1.0,0.0685965152970229,0.0,0.0
Ottawa,2020,87,40037,2.1729899842645555,-3.1964,78.0,1.9481979169268424,12.0,0.29972275645028346
Paulding,2020,27,18532,1.4569393481545434,-5.2411,4.0,0.2158428663932657,0.0,0.0
Perry,2020,79,36324,2.174870608963771,0.7964,88.0,2.42264067833939,0.0,0.0
Pickaway,2020,246,59217,4.154212472769644,6.2379,168.0,2.8370231521353664,12.0,0.2026445108668119
Pike,2020,159,27452,5.791927728398659,-4.0542,61.0,2.2220603234737,0.0,0.0
Portage,2020,366,162394,2.253777848935305,0.6246,422.0,2.5986181755483577,25.0,0.15394657438082687
Preble,2020,144,40624,3.5447026388341865,-3.6661,163.0,4.01240645923592,0.0,0.0
Putnam,2020,53,33979,1.559786927219753,-1.4416,14.0,0.4120191883221989,0.0,0.0
Richland,2020,594,121488,4.8893717898064,-2.1536,484.0,3.983932569471882,12.0,0.09877518767285658
Ross,2020,395,76230,5.181686999868818,-2.3919,407.0,5.339105339105339,11.0,0.1443001443001443
Sandusky,2020,154,58074,2.6517890966697664,-4.6169,158.0,2.720666735544305,0.0,0.0
Scioto,2020,194,74982,2.5872876156944336,-5.8772,199.0,2.653970286202022,13.0,0.17337494331973008
Seneca,2020,281,55146,5.095564501505096,-2.5999,186.0,3.372864759003373,14.0,0.2538715410002539
Shelby,2020,126,48526,2.596546181428512,-1.6677,205.0,4.224539422165438,0.0,0.0
Stark,2020,753,369322,2.038871228900526,-1.6117,791.0,2.141762472855665,79.0,0.21390548085410563
